scatID,cortisol
1,21.7
2,18.4
3,28.9
4,23.8
5,49.0
6,49.0
7,123.1
8,367.1
9,107.2
10,68.7
11,26.3
12,16.2
13,19.8
14,80.6
15,28.1
16,21.8
17,548.6
18,46.3
19,53.0
20,48.5
21,37.1
22,369.7
23,80.1
24,74.8
25,34.5
26,20.3
27,26.6
28,171.1
29,70.3
30,174.5
34,55.7
35,508.6
36,465.5
37,396.9
38,96.5
41,493.0
43,427.9
44,32.9
45,22.5
46,35.5
48,44.4
49,60.4
50,31.4
51,24.6
52,57.0
53,39.5
54,33.5
58,694.4
60,23.5
61,67.4
62,79.3
63,27.7
64,45.6
65,234.8
66,284.3
67,38.5
74,42.1
75,32.3
76,37.7
79,285.5
84,75.7
86,195.5
87,46.5
92,16.5
95,273.8
96,284.9
97,92.0
98,15.0
100,350.0
102,336.6
103,104.8
105,47.5
107,157.6
110,379.1
111,278.9
112,31.2
113,54.8
114,84.3
115,196.0
117,836.8
121,65.3
125,55.2
133,139.2
137,21.8
138,163.4
139,38.3
142,306.1
145,38.3
146,171.6
150,239.3
151,255.9
182,394.6
183,150.7
187,19.4
188,39.6
190,40.2
192,126.3
193,33.7
194,62.2
195,138.6
196,20.1
197,281.1
198,167.1
200,123.2
202,245.3
203,252.2
204,134.6
205,284.1
206,27.9
207,242.8