scatID,scat_diameter
1,2.6
2,2.5
3,2.1
4,1.8
5,2.5
6,2.2
7,3.2
8,2.3
9,2.5
10,2.2
11,3.4
12,3.2
13,2.4
14,1.8
15,1.9
16,2.5
17,1.8
18,1.6
19,2.1
20,2.2
21,2.1
22,2.9
23,2.2
24,2.8
25,2.8
26,3.1
27,2.7
28,2.9
29,3.5
30,2.5
34,3.3
35,2.4
36,2.8
37,3.3
38,3.3
39,2.0
40,1.8
41,3.3
42,0.7
43,3.2
44,2.4
45,3.3
46,2.3
47,2.7
48,2.2
49,2.1
50,2.1
51,2.2
52,2.9
53,3.8
54,1.9
55,2.1
56,1.7
57,1.6
58,2.0
59,2.2
60,2.5
61,3.6
62,3.3
63,2.9
64,3.6
65,2.5
66,1.8
67,3.6
69,3.4
70,3.1
71,3.4
72,0.0
73,2.4
74,3.3
75,2.9
76,2.5
79,3.0
80,3.9
81,2.3
82,1.6
83,3.6
84,2.2
85,1.7
86,3.0
87,2.7
90,2.2
91,2.4
92,2.9
93,2.8
95,2.4
96,3.6
97,3.7
98,2.9
99,3.3
100,3.5
101,2.3
102,3.1
103,1.6
104,1.5
105,2.2
106,2.4
107,3.1
108,1.9
109,2.4
110,1.9
111,2.0
112,1.4
113,3.1
114,2.0
115,2.5
116,1.6
117,2.3
118,2.1
119,2.1
121,2.2
122,2.4
123,2.9
124,1.5
125,1.7
126,2.0
128,3.2
129,1.7
130,1.7
131,2.5
132,1.9
133,1.6
134,1.4
135,1.7
136,2.2
137,3.3
138,1.7
139,2.0
140,2.1
141,2.0
142,1.7
143,2.3
144,1.0
145,2.4
146,2.0
147,2.1
148,2.2
149,1.9
150,2.6
151,2.2
152,2.2
153,1.9
154,2.4
155,1.8
156,1.6
157,2.1
158,2.7
159,1.8
160,2.8
161,2.9
162,3.2
163,3.4
164,1.9
165,2.8
166,2.1
167,2.0
168,2.1
169,2.0
170,4.0
171,3.3
172,1.8
173,2.4
174,2.4
175,2.6
176,2.4
177,2.2
178,2.4
179,2.4
180,3.3
181,2.6
182,3.4
183,2.5
184,2.3
185,3.3
186,1.8
187,1.9
188,1.6
189,1.5
190,2.6
192,1.7
193,1.5
194,1.7
195,1.9
196,1.3
197,3.0
198,1.3
200,1.6
201,1.7
202,3.2
203,3.3
204,3.2
205,2.4
206,3.2
207,2.6