scatID,sent genotype?,successful genotype?,sent parasitology?,successful parasitology?,positive/negative,sent cortisol?,geno,notes
1,yes,no,yes,yes,negative,yes,0,
2,yes,no,no,no,NA,yes,0,
3,yes,no,yes,yes,negative,yes,0,
4,yes,yes,yes,yes,negative,yes,1,
5,yes,no,yes,yes,negative,yes,0,
6,yes,yes,yes,yes,negative,yes,1,
7,yes,yes,yes,yes,negative,yes,1,
8,yes,no,no,no,NA,yes,0,
9,yes,no,yes,yes,negative,yes,0,
10,yes,no,yes,yes,positive,yes,0,
11,yes,no,yes,yes,negative,yes,0,
12,yes,yes,yes,yes,positive,yes,1,
13,yes,yes,no,no,NA,yes,1,
14,yes,no,yes,yes,negative,yes,0,
15,yes,no,no,no,NA,yes,0,
16,yes,no,yes,yes,negative,yes,0,
17,yes,no,no,no,NA,yes,0,
18,yes,no,no,no,NA,yes,0,
19,yes,yes,yes,yes,negative,yes,1,
20,yes,no,yes,yes,negative,yes,0,
21,yes,no,yes,yes,negative,yes,0,
22,yes,yes,yes,yes,negative,yes,1,
23,yes,no,yes,yes,negative,yes,0,
24,yes,no,yes,yes,negative,yes,0,
25,yes,no,yes,yes,negative,yes,0,
26,yes,yes,yes,yes,negative,yes,1,
27,yes,yes,yes,yes,positive,yes,1,
28,yes,no,yes,yes,negative,yes,0,
29,yes,no,yes,yes,negative,yes,0,
30,yes,no,yes,yes,negative,yes,0,changed from genotype success yes to no
34,yes,no,no,yes,negative,yes,0,
35,yes,no,yes,yes,negative,yes,0,
36,yes,yes,yes,yes,negative,yes,1,
37,yes,no,yes,yes,positive,yes,0,changed from genotype success yes to no
38,yes,yes,yes,yes,positive,yes,1,
41,yes,yes,yes,yes,positive,yes,1,
43,yes,yes,yes,yes,negative,yes,1,
44,yes,no,yes,yes,positive,yes,0,
45,yes,yes,yes,yes,positive,yes,1,
46,yes,no,yes,yes,negative,yes,0,
48,yes,yes,yes,yes,positive,yes,1,
49,yes,no,yes,yes,positive,yes,0,
50,yes,yes,yes,yes,positive,yes,1,
51,yes,no,yes,yes,positive,yes,0,
52,yes,yes,yes,yes,positive,yes,1,
53,yes,no,yes,yes,positive,yes,0,
54,yes,yes,yes,yes,negative,yes,1,
58,yes,yes,yes,yes,negative,yes,1,
60,yes,yes,yes,yes,positive,yes,1,
61,yes,yes,yes,yes,negative,yes,1,
62,yes,yes,yes,yes,positive,yes,1,
63,yes,no,yes,yes,positive,yes,0,
64,yes,yes,yes,yes,positive,yes,1,
65,yes,yes,yes,yes,negative,yes,1,
66,yes,yes,yes,yes,positive,yes,1,
67,yes,yes,yes,yes,negative,yes,1,
74,yes,yes,yes,yes,positive,yes,1,
75,yes,no,yes,yes,positive,yes,0,
76,yes,yes,yes,yes,negative,yes,1,
79,yes,no,yes,yes,negative,yes,0,
84,yes,yes,yes,yes,positive,yes,1,
86,yes,yes,yes,yes,positive,yes,1,
87,yes,no,yes,yes,positive,yes,0,
92,yes,yes,yes,yes,positive,yes,1,
95,yes,no,yes,yes,negative,yes,0,
96,yes,yes,yes,yes,positive,yes,1,
97,yes,yes,yes,yes,negative,yes,1,
98,yes,no,yes,yes,positive,yes,0,
100,yes,no,yes,yes,negative,yes,0,
102,yes,no,yes,yes,negative,yes,0,
103,yes,yes,yes,yes,negative,yes,1,
105,yes,yes,yes,yes,negative,yes,1,
107,yes,no,yes,yes,negative,yes,0,
110,yes,yes,yes,yes,negative,yes,1,
111,yes,no,yes,yes,negative,yes,0,
112,yes,no,yes,yes,negative,yes,0,
113,yes,yes,yes,yes,negative,yes,1,
114,yes,yes,yes,yes,negative,yes,1,
115,yes,yes,yes,yes,negative,yes,1,
117,yes,no,yes,yes,negative,yes,0,
121,yes,no,yes,yes,negative,yes,0,
125,yes,yes,yes,yes,negative,yes,1,
133,yes,yes,yes,yes,negative,yes,1,
137,yes,no,yes,yes,negative,yes,0,
138,yes,no,yes,yes,negative,yes,0,
139,yes,no,yes,yes,negative,yes,0,
142,yes,no,yes,yes,negative,yes,0,
145,yes,yes,yes,yes,negative,yes,1,
146,yes,no,yes,yes,negative,yes,0,
150,yes,no,yes,yes,negative,yes,0,
151,yes,no,yes,yes,negative,yes,0,
182,yes,no,yes,yes,negative,yes,0,
183,yes,yes,yes,yes,positive,yes,1,
187,yes,no,yes,yes,negative,yes,0,
188,yes,yes,yes,yes,negative,yes,1,
190,yes,no,yes,yes,positive,yes,0,
192,yes,yes,yes,yes,negative,yes,1,
193,yes,no,yes,yes,negative,yes,0,
194,yes,yes,yes,yes,negative,yes,1,
195,yes,yes,yes,yes,negative,yes,1,
196,yes,no,yes,yes,negative,yes,0,
197,yes,yes,yes,yes,negative,yes,1,
198,yes,yes,yes,yes,negative,yes,1,
200,yes,no,yes,yes,negative,yes,0,
202,yes,no,yes,yes,negative,yes,0,
203,yes,no,yes,yes,negative,yes,0,
204,yes,no,yes,yes,negative,yes,0,
205,yes,no,yes,yes,negative,yes,0,
206,yes,no,yes,yes,negative,yes,0,
207,yes,no,yes,yes,negative,yes,0,